"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/",10,0,160,364,123,1404,12076,0.14
"None","Total",10,0,160,364,123,1404,12076,0.14
